SOC	Term	Freq
11	automotive_sales	7559
11	human_resources_coordinator	7459
11	director_manufacturing	7318
11	residential_construction	7274
11	vp_sales	7272
11	manufacturing_operations_manager	7250
11	quality_control	7146
11	vp_operations	7106
11	sales_engineer	7072
11	credit_analyst	6971
11	national_sales	6899
11	cmo	6814
11	revenue_cycle	6808
11	information_security	6803
11	apartment_leasing	6792
11	director_of_quality	6782
11	engineering_director	6613
11	director_of_purchasing	6596
11	food_sales	6505
11	vice_president_sales	6469
11	food_director	6427
11	telecommunications	6415
11	facilities_management	6394
11	project_superintendent	6388
11	director_it	6369
11	financial_aid	6355
11	training_manager	6277
11	payroll_manager	6256
11	plant_management	6231
11	director_engineering	6230
11	child_care	6211
11	manager_director	6194
11	auto_sales_manager	6175
11	cfo_controller	6143
11	vp_of_operations	6133
11	product_development	6100
11	warehouse_management	6093
11	purchasing_director	6015
11	new_business_development	5999
11	dietary_manager	5998
11	trainer	5963
11	construction_sales	5922
11	implementation_project_manager	5908
11	president_construction	5905
11	strategic_sourcing	5892
11	fleet_maintenance_manager	5864
11	market_research	5857
11	director_of_facilities	5845
11	medical_practice_manager	5814
11	warehouse_operations_manager	5769
11	internal_audit	5720
11	inventory_control	5719
11	svp	5698
11	vice_president_of_manufacturing	5674
11	sourcing_manager	5649
11	real_estate_leasing	5641
11	information_technology_manager	5627
11	accounts_receivable_manager	5595
11	architect	5589
11	food_safety	5571
11	financial_controller	5554
11	management_trainee	5536
11	global_sourcing	5413
11	supply_chain_director	5406
11	medical_device	5374
11	leasing_manager	5348
11	loss_prevention	5344
11	information_technology_director	5329
11	electrical_project_manager	5325
11	generalist	5324
11	sales_executive	5243
11	hospitality_hotel	5232
11	chief_nursing_officer	5213
11	bank_manager	5207
11	manufacturing_management	5196
11	program_management	5151
11	kitchen_manager	5120
11	director_of_construction	5100
11	director_of_supply_chain	5084
11	technology_director	5056
11	beverage_manager	5016
11	shipping_manager	4998
11	itil	4991
13	analyst	745901
13	financial_analyst	698723
13	human_resources	658663
13	business_analyst	615087
13	recruiter	558723
13	controller	446337
13	staff_accountant	252336
13	buyer	214269
13	senior_accountant	173050
13	accountant	169610
13	procurement	118072
13	customer_service	117984
13	accounting_manager	109783
13	mortgage_underwriter	98486
13	data_analyst	95057
13	auditor	91855
13	bookkeeper	90155
13	cfo	71798
13	underwriter	70207
13	hr	65532
13	senior_financial_analyst	60786
13	project_manager	56255
13	cpa	54844
13	accounts_payable	52102
13	credit_analyst	50835
13	mba	46586
13	internal_audit	43057
13	coordinator	42574
13	insurance_claims	40730
13	tax_accountant	39253
13	real_estate	37525
13	manager	37004
13	assistant_controller	35512
13	cost_accountant	34492
13	entry_level_finance	33899
13	estimator	31702
13	accounts_receivable	29650
13	purchasing_procurement	29381
13	virtual_recruiter	28797
13	claims_adjuster	28435
13	entry_level_accountant	27224
13	finance_manager	26988
13	contract_recruiter	26004
13	entry_level_accounting	23964
13	planner	21735
13	human_resources_manager	21419
13	office_manager	21247
13	client_services	21234
13	contracts_administrator	21134
13	corporate_recruiter	20674
13	chief_financial_officer	20609
13	human_resources_assistant	20542
13	financial_management	20509
13	sap	20395
13	financial_advisor	20360
13	talent_acquisition	20050
13	finance_analyst	19965
13	purchasing_manager	17301
13	purchasing_buyer	17022
13	consultant	16985
13	corporate_trainer	16900
13	human_resource	16891
13	loan_officer	16705
13	plant_controller	16306
13	loan_processor	16045
13	statistics	15918
13	inside_sales	15472
13	budget_analyst	14911
13	telecommute	14587
13	treasury	14416
13	bookkeeping	14402
13	investment_analyst	14251
13	learning	14156
13	quality	14108
13	environmental	13905
13	sourcing	13747
13	junior_accountant	13723
13	account_manager	13620
13	underwriting	13148
13	it_auditor	13043
13	mortgage_loan_processor	12897
13	bank	12731
13	training_specialist	12639
13	recruiting_manager	12545
13	collections	12459
13	project_coordinator	12290
13	investigator	12265
13	manufacturing	12168
13	project_analyst	12001
13	human_resources_coordinator	11741
13	business_systems_analyst	11539
13	healthcare_recruiter	11496
13	instructional_design	11382
13	data	11126
13	property_accountant	11000
13	mortgage_banking	10963
13	finance_accounting	10952
13	entry_level_analyst	10900
13	financial_controller	10852
13	entry_level_financial_analyst	10820
13	director_of_finance	10725
13	technical_recruiter	10596
13	project	10569
13	adjuster	10561
13	contracts_manager	10365
13	it_recruiter	10316
13	fraud	10235
13	human_resources_generalist	10019
13	accounting_bookkeeping	9933
13	construction_estimator	9827
13	training_manager	9756
13	project_management	9741
13	financial_reporting	9735
13	insurance_claims_adjuster	9511
13	contract_specialist	9415
13	accounting_supervisor	9305
